Order ID,Amount,Profit,Quantity
B-25960,171,-140,2
B-25961,954,154,20
B-25962,1116,-22,6
B-25963,53,8,3
B-25964,1904,660,23
B-25965,17,7,3
B-25966,510,234,6
B-25967,365,37,15
B-25968,811,154,7
B-25969,3343,251,15
B-25970,1421,398,11
B-25971,244,83,2
B-25972,115,47,2
B-25973,5228,1970,40
B-25974,662,240,2
B-25975,29,2,3
B-25976,193,8,4
B-25977,281,84,8
B-25978,1404,-15,11
B-25979,995,144,12
B-25980,22,11,3
B-25981,1318,377,18
B-25982,13,3,1
B-25983,1034,-122,22
B-25984,304,97,6
B-25985,381,65,17
B-25986,2225,310,24
B-25987,387,11,13
B-25988,79,24,9
B-25989,764,156,13
B-25990,71,32,3
B-25991,291,48,11
B-25992,141,41,3
B-25993,6026,864,25
B-25994,196,-7,5
B-25995,1314,342,3
B-25996,994,275,21
B-25997,2587,247,13
B-25998,50,-28,5
B-25999,2342,420,40
B-26000,1316,253,11
B-26001,220,28,14
B-26002,681,128,20
B-26003,3548,117,30
B-26004,309,117,5
B-26005,87,10,3
B-26006,1301,573,5
B-26007,311,72,2
B-26008,295,78,11
B-26009,480,140,11
B-26010,890,34,18
B-26011,93,44,2
B-26012,21,8,2
B-26013,29,10,3
B-26014,684,136,12
B-26015,128,55,1
B-26016,839,61,13
B-26017,78,7,1
B-26018,387,115,7
B-26019,585,175,13
B-26020,319,102,6
B-26021,192,68,11
B-26022,1824,-1303,8
B-26023,1271,490,18
B-26024,168,18,6
B-26025,228,25,10
B-26026,280,78,12
B-26027,54,8,4
B-26028,1464,583,5
B-26029,21,10,1
B-26030,754,199,21
B-26031,67,9,4
B-26032,47,15,5
B-26033,1028,237,9
B-26034,425,183,5
B-26035,1180,285,17
B-26036,341,44,7
B-26037,171,68,7
B-26038,253,100,8
B-26039,83,34,5
B-26040,984,126,9
B-26041,176,-28,5
B-26042,36,15,3
B-26043,478,143,25
B-26044,28,10,3
B-26045,884,157,15
B-26046,32,3,8
B-26047,55,12,5
B-26048,3129,505,17
B-26049,100,28,2
B-26050,1962,440,33
B-26051,4719,906,49
B-26052,1286,245,23
B-26053,1769,454,30
B-26054,1553,402,25
B-26055,8502,683,57
B-26056,1770,225,39
B-26057,1673,404,14
B-26058,212,97,7
B-26059,20,6,1
B-26060,382,68,3
B-26061,2457,387,15
B-26062,107,-59,6
B-26063,241,-77,4
B-26064,280,43,17
B-26065,146,19,5
B-26066,86,22,2
B-26067,2995,216,25
B-26068,193,33,5
B-26069,55,18,2
B-26070,725,310,12
B-26071,21,4,3
B-26072,313,44,3
B-26073,1992,889,23
B-26074,57,21,4
B-26075,34,12,2
B-26076,753,275,15
B-26077,62,11,7
B-26078,755,202,9
B-26079,18,3,2
B-26080,109,35,6
B-26081,1361,-328,23
B-26082,95,5,2
B-26083,410,50,12
B-26084,209,-63,4
B-26085,1745,653,10
B-26086,830,120,10
B-26087,696,119,21
B-26088,11,5,2
B-26089,225,42,10
B-26090,80,22,3
B-26091,246,89,11
B-26092,97,14,2
B-26093,4502,1020,28
B-26094,152,50,6
B-26095,6,1,1
B-26096,1091,121,18
B-26097,1688,-504,23
B-26098,1189,350,21
B-26099,3417,859,15
B-26100,934,256,6
